Model,Accuracy,Precision,Recall,F1
Logistic Regression TF-IDF,0.8169877408056042,0.8385542168674699,0.710204081632653,0.7690607734806629
LSTM,0.7723292469352014,0.7674418604651163,0.673469387755102,0.717391304347826
GRU,0.7863397548161121,0.75,0.753061224489796,0.7515274949083504
